#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2022-07-17-22-48-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1656434297.163307	CPHUAq153y90Nq4zNk	10.6.21.10	54796	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163307	CwiUoO1CmU8TIf01v	10.6.21.10	54808	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163330	ClOYvH5DEbzaHPWwc	10.6.21.10	54814	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163351	CvA8eb1R5osEFWR0h3	10.6.21.10	54788	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163351	Cj4P4kLN6DA8w9tj8	10.6.21.10	54812	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163390	CxQadX2TKB64mXkYj2	10.6.21.10	54791	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163407	CyANhs1aWnyGfD5emj	10.6.21.10	54787	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163475	CGRVjs2HDs9lRjL992	10.6.21.10	54803	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163663	CcXit8N2DoM8PR79b	10.6.21.10	54786	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163680	ChSpLK1jnVXKwKk3a9	10.6.21.10	54813	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163722	C1fwBL1FYLMmthPcOa	10.6.21.10	54790	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163753	ClJmtw3lhsEYJ0JPri	10.6.21.10	54795	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163785	CQn9jP29FwUgMxjkNb	10.6.21.10	54800	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163872	Ckb7E420hq2dBZsiXe	10.6.21.10	54819	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.443972	CeFV1u35636Gih8zrj	10.6.21.10	54878	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.662540	CcnOBIAb3fjxnjVWd	10.6.21.10	54881	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.662540	CRQLO84c3oLVI1tUC	10.6.21.10	54882	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.693840	CXWuTH3t6zbkt0wGLc	10.6.21.10	54884	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.693840	CT5dS321oiE5Zlcbrd	10.6.21.10	54883	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.740756	Cy9SLp2lizn7NamAc	10.6.21.10	54928	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.740835	CRmddluN8AvPWP2Z	10.6.21.10	54930	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741076	CKktlj47t9qN2VD325	10.6.21.10	54911	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741164	CcbtoVU5qrp1BjoZc	10.6.21.10	54924	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741214	CfRIyr2qj8zuzhTOel	10.6.21.10	54885	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741368	Ccx6Db17XZvKT8t2Ne	10.6.21.10	54917	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741426	CAHRaB3Pm6P7Tv4jNi	10.6.21.10	54907	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741549	CCFbMYpvlQOPak62k	10.6.21.10	54920	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741568	CEVzxJ2TTNCLb4pQ31	10.6.21.10	54894	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741664	CUw1OC4Zidcg7pn78a	10.6.21.10	54923	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741724	C1WBFi1D7SYuR3R4Y4	10.6.21.10	54906	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741805	C4Kc8jmyUDpiOHzz6	10.6.21.10	54896	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.741938	C8wnhKvZUr6mIgDn	10.6.21.10	54900	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742088	CsyOLi3GLhHWO7hD0l	10.6.21.10	54916	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742404	Ct8OKp3tpXY4aRZL9e	10.6.21.10	54898	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742526	Cdhn401JVs28Tcuyp	10.6.21.10	54891	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742544	C2f6Yb3u8lsA3Dt764	10.6.21.10	54918	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742699	CCGs3s1ZepGaDAAuyl	10.6.21.10	54887	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742914	CRDLZI2M7MkQdUHdVi	10.6.21.10	54905	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.742914	COMvYjL9bUtw4Ezji	10.6.21.10	54899	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.771909	CXRgA14EgkDv7kdcRb	10.6.21.10	54927	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.771909	CTq58N17Fa2lIgpYHa	10.6.21.10	54933	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.771909	CFALa722X01WRAmCbi	10.6.21.10	54925	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.772003	CbPQFI1FctIU5FdTld	10.6.21.10	54929	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.772044	CMpGPs2Xxg52TYRjv9	10.6.21.10	54935	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787491	CA9MOK12Ts04JjPp3c	10.6.21.10	54893	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787491	CEirra3gzWIK2lhhv3	10.6.21.10	54931	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787491	CRlPGH3Y7F4nnQfkol	10.6.21.10	54892	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
